Module Path,Module Name,Layer,Functional Area,Workstream,LOC Total,LOC Code,LOC Comments,Classes,Functions,Internal Dependencies,Total Imports,Has Tests,Test Path,Purpose,Status,Overlap Flags,Recommendations
src/presentation/bridge/bridge_service.py,bridge_service,Other,Bridge Service,Workstream M,678,511,49,1,22,9,15,No,N/A,Bridge Service - Connects TUI to Automation System.,Complete,,
src/infrastructure/config/__init__.py,__init__,Other,Configuration,Workstream J,4,2,0,0,0,0,1,Yes,tests\infrastructure\config\__init__.py,Configuration loading utilities for refactored infrastructure.,Complete,,
src/infrastructure/config/config_loader.py,config_loader,Other,Configuration,Workstream J,1015,720,85,1,32,0,7,No,N/A,Configuration Loader for RP System,Complete,,
src/infrastructure/config/defaults.py,defaults,Other,Configuration,Workstream J,547,384,40,14,2,0,2,No,N/A,Default Configuration Schema for RP System,Complete,,
src/tools/__init__.py,__init__,Other,Development Tooling,Workstream K,2,1,0,0,0,0,0,No,N/A,Helper tooling for enforcing architecture rules.,Complete,,
src/tools/import_audit.py,import_audit,Other,Development Tooling,Workstream K,127,103,0,1,8,0,6,No,N/A,Audit imports to enforce layer dependency rules during the refactor.,Complete,,
src/domain/entities/__init__.py,__init__,Other,Entity Management,Workstream C,52,49,0,0,0,0,5,Yes,tests\domain\entities\__init__.py,Entity domain parsing and services.,Complete,,
src/domain/entities/entity_parser.py,entity_parser,Other,Entity Management,Workstream C,192,164,0,6,7,0,4,Yes,tests\domain\entities\test_entity_parser.py,Entity parsing dataclasses and helpers.,Complete,,
src/domain/entities/entity_repository.py,entity_repository,Other,Entity Management,Workstream C,323,239,31,1,22,0,8,Yes,tests\domain\entities\test_entity_repository.py,Fixture-backed entity repository for refactor testing.,Complete,,
src/domain/entities/entity_service.py,entity_service,Other,Entity Management,Workstream C,274,199,18,2,17,2,13,No,N/A,High-level entity operations built on JSON fixtures.,Complete,,
src/domain/entities/fixtures.py,fixtures,Other,Entity Management,Workstream C,51,29,0,1,8,0,5,No,N/A,Utilities for loading entity test fixtures.,Complete,,
src/domain/entities/models.py,models,Other,Entity Management,Workstream C,24,17,0,1,0,0,5,No,N/A,Domain models for entity cards.,Complete,,
src/domain/entities/preference_generator.py,preference_generator,Other,Entity Management,Workstream C,166,127,0,3,6,1,8,Yes,tests\domain\entities\test_preference_generator.py,Generate character preference data from entity information.,Complete,,
src/infrastructure/filesystem/__init__.py,__init__,Other,File System,Workstream B,22,19,0,0,0,0,7,No,N/A,Filesystem-related adapters.,Complete,,
src/infrastructure/filesystem/file_access_service.py,file_access_service,Other,File System,Workstream B,148,114,5,2,15,0,8,No,N/A,High-level filesystem facade composing manager and tiered loader.,Complete,,
src/infrastructure/filesystem/file_manager.py,file_manager,Other,File System,Workstream B,325,218,22,1,33,0,14,No,N/A,Refactored FileManager leveraging JsonStore and MarkdownStore.,Complete,,
src/infrastructure/filesystem/json_store.py,json_store,Other,File System,Workstream B,130,108,1,1,5,0,7,No,N/A,JSON storage helper with merge semantics.,Complete,,
src/infrastructure/filesystem/loaders/tiered_loader.py,tiered_loader,Other,File System,Workstream B,356,311,4,3,17,0,9,No,N/A,Data-driven tiered file loading for RP automation.,Complete,,
src/infrastructure/filesystem/markdown_store.py,markdown_store,Other,File System,Workstream B,72,58,0,1,4,0,4,No,N/A,Markdown file read/write helpers.,Complete,,
src/infrastructure/filesystem/state_paths.py,state_paths,Other,File System,Workstream B,77,53,0,1,18,0,3,No,N/A,Utilities for deriving stateful file system paths.,Complete,,
src/infrastructure/filesystem/write_queue.py,write_queue,Other,File System,Workstream B,61,40,0,2,9,1,6,No,N/A,Facade around the filesystem write queue.,Complete,,
src/infrastructure/ipc/__init__.py,__init__,Other,IPC Communication,Workstream M,45,37,4,0,0,0,4,No,N/A,Inter-process communication module for TUI-Bridge communication.,Complete,,
src/infrastructure/ipc/ipc_channel.py,ipc_channel,Other,IPC Communication,Workstream M,167,132,8,3,10,0,8,No,N/A,Schema-validated IPC channel for automation state exchanges.,Complete,,
src/infrastructure/ipc/ipc_protocol.py,ipc_protocol,Other,IPC Communication,Workstream M,320,232,12,4,14,0,4,Yes,tests\infrastructure\ipc\test_ipc_protocol.py,IPC Protocol for TUI-Bridge Communication.,Complete,,
src/infrastructure/ipc/socket_client.py,socket_client,Other,IPC Communication,Workstream M,363,265,27,1,14,0,6,No,N/A,Socket Client for TUI-side IPC.,Complete,,
src/infrastructure/ipc/socket_server.py,socket_server,Other,IPC Communication,Workstream M,267,194,22,1,12,0,6,No,N/A,Socket Server for Bridge-side IPC.,Complete,,
src/infrastructure/llm/__init__.py,__init__,Other,LLM Clients,Workstream I,48,46,0,0,0,0,10,No,N/A,Multi-provider LLM client implementations.,Complete,,
src/infrastructure/llm/base.py,base,Other,LLM Clients,Workstream I,120,84,0,9,5,0,4,No,N/A,Base interfaces and data structures for provider-agnostic LLM clients.,Complete,,
src/infrastructure/llm/claude_api_client.py,claude_api_client,Other,LLM Clients,Workstream I,412,328,19,2,8,0,10,No,N/A,Claude API client using shared LLM abstractions.,Complete,,
src/infrastructure/llm/claude_sdk_client.py,claude_sdk_client,Other,LLM Clients,Workstream I,167,126,13,1,9,1,6,No,N/A,Claude SDK streaming client implementing shared interfaces (WIP).,Complete,,
src/infrastructure/llm/config_utils.py,config_utils,Other,LLM Clients,Workstream I,110,88,0,0,5,0,7,No,N/A,Shared configuration helpers for multi-provider LLM settings.,Complete,,
src/infrastructure/llm/mock_client.py,mock_client,Other,LLM Clients,Workstream I,170,129,7,1,6,0,4,Yes,tests\infrastructure\llm\test_mock_client.py,Mock LLM Client for Testing Mode.,Complete,,
src/infrastructure/llm/openai_client.py,openai_client,Other,LLM Clients,Workstream I,549,454,14,3,16,0,9,No,N/A,OpenAI chat client implementing the shared LLMClient interface.,Complete,,
src/infrastructure/llm/openrouter_client.py,openrouter_client,Other,LLM Clients,Workstream I,349,287,6,2,9,0,9,No,N/A,OpenRouter client implementing the shared LLMClient interface.,Complete,,
src/infrastructure/llm/proxy.py,proxy,Other,LLM Clients,Workstream I,69,53,1,0,1,0,5,No,N/A,Proxy utilities aligned with the refactored infrastructure.,Complete,,
src/infrastructure/llm/registry.py,registry,Other,LLM Clients,Workstream I,138,103,3,1,7,0,10,No,N/A,Provider registry skeleton for multi-LLM support.,Complete,,
src/infrastructure/llm/semantic_ai_client.py,semantic_ai_client,Other,LLM Clients,Workstream I,169,126,7,1,5,0,7,No,N/A,AI client adapter for semantic trigger evaluation.,Complete,,
src/infrastructure/transports/__init__.py,__init__,Other,LLM Clients,Workstream I,6,4,0,0,0,0,3,Yes,tests\infrastructure\transports\__init__.py,Transport implementations for low-level HTTP operations.,Complete,,
src/infrastructure/transports/fake_transport.py,fake_transport,Other,LLM Clients,Workstream I,158,119,2,1,10,0,3,No,N/A,Fake transport implementation for testing.,Complete,,
src/infrastructure/transports/logging_transport.py,logging_transport,Other,LLM Clients,Workstream I,86,66,3,1,7,0,3,Yes,tests\infrastructure\transports\test_logging_transport.py,Logging wrapper around another transport.,Complete,,
src/infrastructure/transports/proxy_transport.py,proxy_transport,Other,LLM Clients,Workstream I,119,89,1,1,7,0,7,Yes,tests\infrastructure\transports\test_proxy_transport.py,Proxy-aware transport that decorates another transport implementation.,Complete,,
src/infrastructure/transports/requests_transport.py,requests_transport,Other,LLM Clients,Workstream I,111,80,4,1,7,0,6,Yes,tests\infrastructure\transports\test_requests_transport.py,Requests-based implementation of the shared Transport protocol.,Complete,,
src/infrastructure/logging/__init__.py,__init__,Other,Logging & Telemetry,Workstream H,5,3,0,0,0,0,2,No,N/A,Logging infrastructure built atop Python''s ``logging`` module.,Complete,,
src/infrastructure/logging/agent_logging.py,agent_logging,Other,Logging & Telemetry,Workstream H,286,218,5,2,19,0,5,No,N/A,Agent Logger Utilities,Complete,,
src/infrastructure/logging/python_logging.py,python_logging,Other,Logging & Telemetry,Workstream H,62,45,0,1,8,0,6,No,N/A,Adapters that implement the shared ``LoggingService`` using ``logging``.,Complete,,
src/infrastructure/retry/__init__.py,__init__,Other,Logging & Telemetry,Workstream H,22,19,0,0,0,0,1,No,N/A,Retry policy and backoff strategies for transient failure handling.,Complete,,
src/infrastructure/retry/retry_policy.py,retry_policy,Other,Logging & Telemetry,Workstream H,320,246,18,4,4,0,8,No,N/A,Retry policy and backoff strategies for transient failure handling.,Complete,,
src/infrastructure/telemetry/__init__.py,__init__,Other,Logging & Telemetry,Workstream H,20,16,0,0,0,0,1,Yes,tests\infrastructure\telemetry\__init__.py,Telemetry and performance profiling infrastructure.,Complete,,
src/infrastructure/telemetry/performance.py,performance,Other,Logging & Telemetry,Workstream H,319,252,3,2,13,0,7,Yes,tests\infrastructure\telemetry\test_performance.py,Performance profiling and timing utilities.,Complete,,
src/__init__.py,__init__,Other,Other,Unknown,2,1,0,0,0,0,0,No,N/A,Refactored RP Launcher code lives under this namespace.,Complete,,
src/automation/__init__.py,__init__,Other,Other,Unknown,18,15,0,0,0,0,2,Yes,tests\automation\__init__.py,Automation layer for the refactored RP Launcher.,Complete,,
src/automation/contracts/__init__.py,__init__,Other,Other,Unknown,16,13,0,0,0,0,1,No,N/A,Data contracts shared across automation services.,Complete,,
src/automation/contracts/agent_contracts.py,agent_contracts,Other,Other,Unknown,155,119,1,5,5,0,5,No,N/A,Agent execution contracts and data models.,Complete,,
src/automation/contracts/automation_context.py,automation_context,Other,Other,Unknown,133,99,1,4,9,0,4,No,N/A,Immutable automation data contracts used across the refactored pipeline.,Complete,,
src/automation/factory.py,factory,Other,Other,Workstream D,249,198,14,1,12,6,13,No,N/A,Factory for creating automation pipeline services with proper dependency injection.,Complete,,
src/automation/services/__init__.py,__init__,Other,Other,Unknown,14,11,0,0,0,0,4,No,N/A,Automation service layer components.,Complete,,
src/domain/__init__.py,__init__,Other,Other,Unknown,2,1,0,0,0,0,0,No,N/A,Domain layer package.,Complete,,
src/fs_write_queue.py,fs_write_queue,Other,Other,Unknown,81,60,1,1,6,0,4,No,N/A,Simple synchronous write queue implementation for testing.,Complete,,
src/infrastructure/__init__.py,__init__,Other,Other,Unknown,30,27,0,0,0,0,3,Yes,tests\infrastructure\__init__.py,"Infrastructure adapters for filesystem, transport, templates, and configuration.",Complete,,
src/infrastructure/sessions/__init__.py,__init__,Other,Other,Unknown,6,3,0,0,0,0,1,No,N/A,Session management infrastructure.,Complete,,
src/infrastructure/sessions/session_state_service.py,session_state_service,Other,Other,Unknown,234,178,7,1,8,0,6,No,N/A,Service for managing centralized session state file (state/session.json).,Complete,,
src/automation/services/session_service.py,session_service,Other,Session Management,Unknown,43,31,0,1,2,0,3,No,N/A,Session service placeholder for Workstream D.,Complete,,
src/domain/sessions/__init__.py,__init__,Other,Session Management,Workstream B/G,17,14,0,0,0,0,4,No,N/A,Session domain services and repositories.,Complete,,
src/domain/sessions/models.py,models,Other,Session Management,Workstream B/G,221,189,0,3,14,0,5,No,N/A,Domain models for session management.,Complete,,
src/domain/sessions/repository.py,repository,Other,Session Management,Workstream B/G,617,460,43,2,22,1,11,No,N/A,Filesystem-backed session repository.,Complete,,
src/domain/sessions/service.py,service,Other,Session Management,Workstream B/G,92,71,2,1,4,1,8,No,N/A,Session service exposing higher-level operations for automation.,Complete,,
src/domain/sessions/write_back.py,write_back,Other,Session Management,Workstream B/G,255,189,16,1,6,0,6,No,N/A,Session write-back integration for automation agents.,Complete,,
src/shared/__init__.py,__init__,Other,Shared,Workstream A,6,3,0,0,0,0,1,Yes,tests\shared\__init__.py,Shared abstractions reused across refactored modules.,Complete,,
src/shared/interfaces/__init__.py,__init__,Other,Shared,Workstream A,7,5,0,0,0,0,4,No,N/A,Public interface exports for shared protocols.,Complete,,
src/shared/interfaces/ai_client.py,ai_client,Other,Shared,Workstream A,48,37,0,1,1,0,2,No,N/A,AI client protocol for semantic evaluation.,Complete,,
src/shared/interfaces/config_service.py,config_service,Other,Shared,Workstream A,28,17,0,1,5,0,3,No,N/A,Protocol for configuration access across the application.,Complete,,
src/shared/interfaces/logging_service.py,logging_service,Other,Shared,Workstream A,32,22,0,1,5,0,3,No,N/A,Protocol definitions for logging across layers.,Complete,,
src/shared/interfaces/transport.py,transport,Other,Shared,Workstream A,44,28,0,4,3,0,4,No,N/A,Protocol definitions for network transports and diagnostics.,Complete,,
src/shared/logging.py,logging,Other,Shared,Workstream A,154,113,0,2,15,0,4,Yes,tests\shared\test_logging.py,Logging utilities for refactored components.,Complete,,
src/shared/models.py,models,Other,Shared,Workstream A,38,26,0,2,0,0,3,No,N/A,Shared domain models and enums used across layers.,Complete,,
src/presentation/tui/__init__.py,__init__,Other,TUI Presentation,Workstream M,10,6,0,0,0,0,1,No,N/A,Refactored TUI (Terminal User Interface) for RP Client.,Complete,,
src/presentation/tui/app.py,app,Other,TUI Presentation,Workstream M,509,374,49,1,13,1,12,No,N/A,Main TUI application for RP Client.,Complete,,
src/presentation/tui/components/__init__.py,__init__,Other,TUI Presentation,Workstream M,18,15,0,0,0,0,6,No,N/A,TUI widget components.,Complete,,
src/presentation/tui/components/app_header.py,app_header,Other,TUI Presentation,Workstream M,89,64,2,1,3,0,8,No,N/A,App header widget for displaying RP title and context.,Complete,,
src/presentation/tui/components/character_editor.py,character_editor,Other,TUI Presentation,Workstream M,315,237,22,3,10,0,5,No,N/A,N/A,Complete,,
src/presentation/tui/components/chat_display.py,chat_display,Other,TUI Presentation,Workstream M,125,90,8,1,5,0,12,No,N/A,Chat display widget for showing RP conversation history.,Complete,,
src/presentation/tui/components/context_panel.py,context_panel,Other,TUI Presentation,Workstream M,192,154,4,1,7,0,15,No,N/A,Context panel widget for displaying story state and progress.,Complete,,
src/presentation/tui/components/provider_selector.py,provider_selector,Other,TUI Presentation,Workstream M,174,127,9,2,7,1,6,No,N/A,Provider selector widget for switching LLM providers.,Complete,,
src/presentation/tui/components/rp_textarea.py,rp_textarea,Other,TUI Presentation,Workstream M,47,29,3,2,1,0,3,No,N/A,Custom text area widget with enhanced input controls.,Complete,,
src/presentation/tui/components/template_editor_mockup.py,template_editor_mockup,Other,TUI Presentation,Workstream M,512,388,25,7,20,0,8,No,N/A,Template Editor UI Mockup,Complete,,
src/presentation/tui/components/testing_mode_toggle.py,testing_mode_toggle,Other,TUI Presentation,Workstream M,126,92,6,2,5,1,6,No,N/A,Testing mode toggle widget.,Complete,,
src/presentation/tui/components/trigger_editor_enhanced_mockup.py,trigger_editor_enhanced_mockup,Other,TUI Presentation,Workstream M,743,558,45,8,32,0,10,No,N/A,Enhanced Trigger Editor UI Mockup - Tabbed with Two-Column Character Grid,Complete,,
src/presentation/tui/components/trigger_editor_mockup.py,trigger_editor_mockup,Other,TUI Presentation,Workstream M,419,320,19,4,18,0,7,No,N/A,Trigger Editor UI Mockup - Standalone Preview,Complete,,
src/presentation/tui/screens/__init__.py,__init__,Other,TUI Presentation,Workstream M,8,5,0,0,0,0,1,No,N/A,TUI screen and overlay components.,Complete,,
src/presentation/tui/screens/base_overlay.py,base_overlay,Other,TUI Presentation,Workstream M,64,48,0,1,2,0,7,No,N/A,Base overlay screen for TUI modals.,Complete,,
src/presentation/tui/styles/__init__.py,__init__,Other,TUI Presentation,Workstream M,6,3,0,0,0,0,1,No,N/A,TUI styling and theming.,Complete,,
src/presentation/tui/styles/theme.py,theme,Other,TUI Presentation,Workstream M,62,41,9,0,0,0,0,No,N/A,Theme and color palette for RP Client TUI.,Complete,,
src/presentation/tui/utils/__init__.py,__init__,Other,TUI Presentation,Workstream M,20,17,0,0,0,0,1,No,N/A,TUI utility functions.,Complete,,
src/presentation/tui/utils/helpers.py,helpers,Other,TUI Presentation,Workstream M,149,109,4,0,6,0,4,No,N/A,Helper utilities for TUI operations.,Complete,,
src/automation/templates/__init__.py,__init__,Other,Template System,Workstream F,26,20,0,0,0,0,4,Yes,tests\automation\templates\__init__.py,Template management system for narrative guidance.,Complete,,
src/automation/templates/narrative_template_manager.py,narrative_template_manager,Other,Template System,Workstream F,301,234,9,1,8,0,8,No,N/A,Narrative template manager for genre-specific guidance.,Complete,,
src/automation/templates/template_cache.py,template_cache,Other,Template System,Workstream F,169,130,4,1,8,0,5,Yes,tests\automation\templates\test_template_cache.py,Template cache with LRU eviction.,Complete,,
src/automation/templates/template_loader.py,template_loader,Other,Template System,Workstream F,217,161,9,1,7,0,6,Yes,tests\automation\templates\test_template_loader.py,Template loader for JSON template files.,Complete,,
src/automation/templates/template_registry.py,template_registry,Other,Template System,Workstream F,157,119,4,1,7,0,3,No,N/A,Template registry for discovering available templates.,Complete,,
src/infrastructure/templates/__init__.py,__init__,Other,Template System,Workstream F,7,4,0,0,0,0,2,No,N/A,Template rendering utilities.,Complete,,
src/infrastructure/templates/state_service.py,state_service,Other,Template System,Workstream F,70,57,0,1,7,0,5,No,N/A,Services for rendering state-related templates.,Complete,,
src/infrastructure/templates/template_renderer.py,template_renderer,Other,Template System,Workstream F,61,50,0,1,5,0,7,No,N/A,Template rendering utilities.,Complete,,
src/automation/triggers/__init__.py,__init__,Other,Trigger System,Workstream F,46,40,0,0,0,0,8,Yes,tests\automation\triggers\__init__.py,Trigger evaluation system for conditional file loading.,Complete,,
src/automation/triggers/coordinator.py,coordinator,Other,Trigger System,Workstream F,174,129,10,1,4,0,3,Yes,tests\automation\triggers\test_coordinator.py,Trigger coordinator for orchestrating evaluation.,Complete,,
src/automation/triggers/frequency_tracker.py,frequency_tracker,Other,Trigger System,Workstream F,209,160,7,1,8,1,5,Yes,tests\automation\triggers\test_frequency_tracker.py,Frequency tracker for trigger auto-escalation.,Complete,,
src/automation/triggers/keyword_evaluator.py,keyword_evaluator,Other,Trigger System,Workstream F,165,119,12,1,5,0,3,Yes,tests\automation\triggers\test_keyword_evaluator.py,Keyword-based trigger evaluation.,Complete,,
src/automation/triggers/pattern_loader.py,pattern_loader,Other,Trigger System,Workstream F,203,143,11,1,7,0,5,Yes,tests\automation\triggers\test_pattern_loader.py,Pattern loader for discovering trigger patterns from entity files.,Complete,,
src/automation/triggers/protocols.py,protocols,Other,Trigger System,Workstream F,127,97,0,4,4,0,4,No,N/A,Trigger evaluation protocols and data structures.,Complete,,
src/automation/triggers/regex_evaluator.py,regex_evaluator,Other,Trigger System,Workstream F,177,133,10,1,5,0,4,Yes,tests\automation\triggers\test_regex_evaluator.py,Regex-based trigger evaluation.,Complete,,
src/automation/triggers/registry.py,registry,Other,Trigger System,Workstream F,155,116,8,1,6,0,8,Yes,tests\automation\triggers\test_registry.py,Trigger evaluator registry for extensibility.,Complete,,
src/automation/triggers/semantic_evaluator.py,semantic_evaluator,Other,Trigger System,Workstream F,166,128,6,1,4,0,4,Yes,tests\automation\triggers\test_semantic_evaluator.py,Semantic trigger evaluation using AI.,Complete,,
src/wip/__init__.py,__init__,Other,WIP,WIP,36,29,0,0,0,0,4,No,N/A,WIP (Work In Progress) Testing System.,Complete,,
src/wip/executor.py,executor,Other,WIP,WIP,323,243,16,2,14,0,9,No,N/A,WIP Execution Wrapper - Runs both versions and compares results.,Complete,,
src/wip/loader.py,loader,Other,WIP,WIP,288,188,27,1,12,0,7,No,N/A,WIP Module Loader - Dynamically imports WIP implementations.,Complete,,
src/wip/registry.py,registry,Other,WIP,WIP,191,147,10,1,5,0,3,No,N/A,WIP Module Registry - Defines swappable components.,Complete,,
src/wip/scanner.py,scanner,Other,WIP,WIP,239,176,7,2,12,0,6,No,N/A,WIP Module Scanner - Auto-discovers available WIP modules.,Complete,,
